date,LWDOWN,SWDOWN,PSFC,Q2D,T2D,U2D,V2D,RAINRATE,area_sqkm,lat,lon
2015-12-01 11:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-01 12:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-12-01 13:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-12-01 14:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-12-01 15:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-12-01 16:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-12-01 17:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-01 18:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-12-01 19:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-12-01 20:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-12-01 21:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-12-01 22:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-01 23:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-12-02 00:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-12-02 01:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-12-02 02:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-02 03:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-02 04:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-02 05:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-02 06:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-12-02 07:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-12-02 08:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-12-02 09:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-12-02 10:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-12-02 11:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-02 12:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-02 13:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-12-02 14:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-12-02 15:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-12-02 16:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-12-02 17:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-12-02 18:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-02 19:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-12-02 20:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-12-02 21:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-12-02 22:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-12-02 23:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-03 00:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-12-03 01:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-12-03 02:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-12-03 03:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-03 04:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-03 05:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-03 06:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-03 07:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-12-03 08:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-12-03 09:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-12-03 10:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-12-03 11:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-12-03 12:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-03 13:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-03 14:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-12-03 15:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-12-03 16:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-12-03 17:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-12-03 18:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-12-03 19:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-03 20:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-12-03 21:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-12-03 22:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-12-03 23:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-12-04 00:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-04 01:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-12-04 02:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-12-04 03:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-12-04 04:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-04 05:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-04 06:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-04 07:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-04 08:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-12-04 09:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-12-04 10:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-12-04 11:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-12-04 12:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-12-04 13:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-04 14:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-04 15:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-12-04 16:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-12-04 17:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-12-04 18:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-12-04 19:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-12-04 20:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-04 21:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-12-04 22:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-12-04 23:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-12-05 00:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-12-05 01:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-05 02:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-12-05 03:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-12-05 04:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-12-05 05:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-05 06:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-05 07:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-05 08:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-05 09:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-12-05 10:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-12-05 11:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-12-05 12:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-12-05 13:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-12-05 14:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-05 15:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-05 16:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-12-05 17:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-12-05 18:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-12-05 19:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-12-05 20:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-12-05 21:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-05 22:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-12-05 23:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-12-06 00:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-12-06 01:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-12-06 02:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-06 03:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-12-06 04:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-12-06 05:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-12-06 06:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-06 07:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-06 08:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-06 09:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-06 10:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-12-06 11:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-12-06 12:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-12-06 13:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-12-06 14:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-12-06 15:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-06 16:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-06 17:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-12-06 18:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-12-06 19:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-12-06 20:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-12-06 21:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-12-06 22:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-06 23:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-12-07 00:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-12-07 01:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-12-07 02:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-12-07 03:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-07 04:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-12-07 05:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-12-07 06:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-12-07 07:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-07 08:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-07 09:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-07 10:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-07 11:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-12-07 12:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-12-07 13:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-12-07 14:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
2015-12-07 15:00:00,335.0,0.0,100460.0,0.00699999975040555,282.5,-2.299999952316284,0.20000000298023224,0.0,15.617,35.287,-80.85
2015-12-07 16:00:00,335.0,0.0,100470.0,0.00699999975040555,282.3000183105469,-2.400000095367432,0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-07 17:00:00,335.0,0.0,100480.0,0.0071000000461936,282.3000183105469,-2.400000095367432,0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-07 18:00:00,350.3999938964844,0.0,100530.0,0.00699999975040555,282.0,-2.400000095367432,1.3000000715255735,0.0,15.617,35.287,-80.85
2015-12-07 19:00:00,350.3999938964844,85.0999984741211,100560.0,0.00699999975040555,281.8999938964844,-2.6000001430511475,1.2000000476837158,0.0,15.617,35.287,-80.85
2015-12-07 20:00:00,350.3000183105469,195.40000915527344,100610.0,0.0068999999202787885,282.5,-2.700000047683716,1.100000023841858,0.0,15.617,35.287,-80.85
2015-12-07 21:00:00,397.0,220.0,100600.0,0.00699999975040555,282.3999938964844,-2.900000095367432,1.0,0.0,15.617,35.287,-80.85
2015-12-07 22:00:00,397.0,264.70001220703125,100520.0,0.007199999876320362,282.8000183105469,-2.200000047683716,1.7000000476837158,0.0,15.617,35.287,-80.85
2015-12-07 23:00:00,397.0,276.5,100510.0,0.0074999998323619374,283.1000061035156,-1.5,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-08 00:00:00,385.3999938964844,395.20001220703125,100400.0,0.007699999958276749,283.5,-0.8000000119209291,3.0,0.0,15.617,35.287,-80.85
2015-12-08 01:00:00,385.3999938964844,345.6000061035156,100340.0,0.008100000210106373,284.3999938964844,-0.8000000119209291,2.900000095367432,0.0,15.617,35.287,-80.85
2015-12-08 02:00:00,385.3999938964844,268.20001220703125,100310.0,0.008200000040233135,284.70001220703125,-0.9000000357627869,2.799999952316284,0.0,15.617,35.287,-80.85
2015-12-08 03:00:00,394.3000183105469,120.5999984741211,100160.0,0.008200000040233135,284.3999938964844,-0.9000000357627869,2.700000047683716,0.0,15.617,35.287,-80.85
2015-12-08 04:00:00,394.3000183105469,21.0,100200.0,0.00839999970048666,285.1000061035156,-1.3000000715255735,2.299999952316284,0.0,15.617,35.287,-80.85
2015-12-08 05:00:00,394.3000183105469,0.0,100240.0,0.008599999360740185,285.1000061035156,-1.7000000476837158,1.8000000715255735,0.0,15.617,35.287,-80.85
2015-12-08 06:00:00,383.3000183105469,0.0,100190.0,0.008599999360740185,285.20001220703125,-2.1000001430511475,1.399999976158142,0.0,15.617,35.287,-80.85
2015-12-08 07:00:00,361.20001220703125,0.0,100530.0,0.010499999858438969,287.5,-2.6000001430511475,0.0,0.0,15.617,35.287,-80.85
2015-12-08 08:00:00,361.20001220703125,0.0,100610.0,0.009800000116229056,287.3000183105469,-2.700000047683716,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-08 09:00:00,361.20001220703125,0.0,100600.0,0.009099999442696571,286.6000061035156,-2.799999952316284,-0.6000000238418579,0.0,15.617,35.287,-80.85
2015-12-08 10:00:00,357.6000061035156,0.0,100570.0,0.008700000122189522,285.5,-2.900000095367432,-0.9000000357627869,0.0,15.617,35.287,-80.85
2015-12-08 11:00:00,357.6000061035156,0.0,100590.0,0.00839999970048666,284.3000183105469,-2.6000001430511475,-0.30000001192092896,0.0,15.617,35.287,-80.85
2015-12-08 12:00:00,357.6000061035156,0.0,100540.0,0.007999999448657036,283.8999938964844,-2.299999952316284,0.4000000059604645,0.0,15.617,35.287,-80.85
2015-12-08 13:00:00,344.1000061035156,0.0,100510.0,0.007699999958276749,283.6000061035156,-2.0,1.0,0.0,15.617,35.287,-80.85
2015-12-08 14:00:00,344.1000061035156,0.0,100490.0,0.007400000002235173,283.20001220703125,-2.1000001430511475,0.699999988079071,0.0,15.617,35.287,-80.85
2015-12-08 15:00:00,344.1000061035156,0.0,100550.0,0.007199999876320362,282.8999938964844,-2.200000047683716,0.5,0.0,15.617,35.287,-80.85
